	mH1	mH2	mH3	R11	R12	R13	R21	R22	R23	R31	R32	R33	thetahS	thetahX	thetaSX	v	vs	vx	LH	LS	LX	LHS	LHX	LSX	muHsq	muSsq	muXsq	S	STU_chisq	T	U	b_H1_WW	b_H1_ZZ	b_H1_Zgam	b_H1_bb	b_H1_cc	b_H1_gamgam	b_H1_gg	b_H1_mumu	b_H1_ss	b_H1_tautau	b_H1_tt	b_H2_H1H1	b_H2_WW	b_H2_ZZ	b_H2_Zgam	b_H2_bb	b_H2_cc	b_H2_gamgam	b_H2_gg	b_H2_mumu	b_H2_ss	b_H2_tautau	b_H2_tt	b_H3_H1H1	b_H3_H1H2	b_H3_H2H2	b_H3_WW	b_H3_ZZ	b_H3_Zgam	b_H3_bb	b_H3_cc	b_H3_gamgam	b_H3_gg	b_H3_mumu	b_H3_ss	b_H3_tautau	b_H3_tt	c_H1H1H1	c_H1H1H2	c_H1H1H3	c_H1H2H2	c_H1H2H3	c_H1H3H3	c_H2H2H2	c_H2H2H3	c_H2H3H3	c_H3H3H3	hb_H1_channel	hb_H1_ncombined	hb_H1_obsratio	hb_H1_result	hb_H2_channel	hb_H2_ncombined	hb_H2_obsratio	hb_H2_result	hb_H3_channel	hb_H3_ncombined	hb_H3_obsratio	hb_H3_result	hb_channel	hb_result	hs_chisqMass	hs_chisqMu	hs_deltaChisq	maxEV	mu_H1_WW	mu_H1_ZZ	mu_H1_bb	mu_H1_bb_VH	mu_H1_gamgam	mu_H1_tautau	mu_H2_WW	mu_H2_ZZ	mu_H2_bb	mu_H2_bb_VH	mu_H2_gamgam	mu_H2_tautau	mu_H3_WW	mu_H3_ZZ	mu_H3_bb	mu_H3_bb_VH	mu_H3_gamgam	mu_H3_tautau	w_H1	w_H2	w_H3	x_H1W	x_H1Z	x_H1_bb	x_H1_gg	x_H1_vbf	x_H1tt	x_H2W	x_H2Z	x_H2_bb	x_H2_gg	x_H2_vbf	x_H2tt	x_H3W	x_H3Z	x_H3_bb	x_H3_gg	x_H3_vbf	x_H3tt
157	90	125.09	450	2.2204460492503131e-16	0	-1	-1	2.2204460492503131e-16	-2.2204460492503131e-16	2.2204460492503131e-16	1	0	-0	1.5707963267948966	1.5707963267948966	246.21965079413738	500.5	500.5	0.12905349405143485	0.40419121338202257	0.016167648535280903	3.366761301943689e-16	1.359931459238224e-17	-3.0797642428049261e-33	-7823.7540500000432	-101250.00000000001	-4050.0000000000005	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	0.0020004360950687259	0.00040708874534648571	0	0.81817836288310863	0.040108743706127943	0.0012402703789426098	0.055112014419143388	0.00029206366988003394	0.00034307479030428638	0.082317945312078061	0	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	4.2773016880647821e-36	2.6349634451265298e-32	0.2708474838500361	0.3981326377563712	0.18812860904971385	8.7501678627773884e-06	0.00011156464025041171	5.4688549142358673e-06	6.3584553136182347e-07	0.00055928156256252143	5.395936848712723e-08	4.6667561934812739e-08	1.5239875694337284e-05	0.14219022777013257	-48.551448551448551	-1.4129005702120355e-14	-7.9792374279347116e-31	3.5527021421445746e-14	-4.5304521153194913e-29	1.9948093569837044e-29	-190.65303743464546	2.1083988153721471e-13	1.8661840109643028e-13	1213.7862137862139	1	1	2.653901825560093e-31	1	377	1	0.79282386449627762	1	261	1	8.6422074311079378e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.2125736401460676	4.9260271946889715e-32	4.926027194688971e-32	4.9260271946889715e-32	4.8544514900191788e-32	4.9260271946889705e-32	4.9260271946889721e-32	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.5948994616415602e-32	3.5948994616415607e-32	3.5948994616415602e-32	3.5123863614059628e-32	3.5948994616415607e-32	3.5948994616415607e-32	1.1140231186304386e-34	0.0040852594436052011	3.0156446931598897e-30	1.9608123875399774e-31	1.119113638253926e-31	6.4933113261004532e-32	3.7012367596838344e-30	2.59239414978255e-31	5.0607282510796404e-32	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
158	90	125.09	450	2.2204460492503131e-16	0	-1	-1	2.2204460492503131e-16	-2.2204460492503131e-16	2.2204460492503131e-16	1	0	-0	1.5707963267948966	1.5707963267948966	246.21965079413738	500.5	1000	0.12905349405143485	0.40419121338202257	0.0040499999999999998	3.366761301943689e-16	6.8064569534873106e-18	-1.5414220035238657e-33	-7823.754050000045	-101250.00000000001	-4050	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	0.0020004360950687259	0.00040708874534648571	0	0.81817836288310863	0.040108743706127943	0.0012402703789426098	0.055112014419143388	0.00029206366988003394	0.00034307479030428638	0.082317945312078061	0	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	1.0714651421856251e-36	2.6349634451265298e-32	0.2708474838500361	0.3981326377563712	0.18812860904971385	8.7501678627773884e-06	0.00011156464025041171	5.4688549142358673e-06	6.3584553136182347e-07	0.00055928156256252143	5.395936848712723e-08	4.6667561934812739e-08	1.5239875694337284e-05	0.14219022777013257	-24.299999999999997	-7.0715673539112405e-15	-3.9936083326812766e-31	3.5527021421445746e-14	-4.5304521153194913e-29	1.9948093569837044e-29	-190.65303743464546	2.1083988153721471e-13	1.8661840109643028e-13	1213.7862137862139	1	1	2.653901825560093e-31	1	377	1	0.79282386449627762	1	261	1	8.6422074311079378e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.2125736401460676	4.9260271946889715e-32	4.926027194688971e-32	4.9260271946889715e-32	4.8544514900191788e-32	4.9260271946889705e-32	4.9260271946889721e-32	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.5948994616415602e-32	3.5948994616415607e-32	3.5948994616415602e-32	3.5123863614059628e-32	3.5948994616415607e-32	3.5948994616415607e-32	1.1140231186304386e-34	0.0040852594436052011	3.0156446931598897e-30	1.9608123875399774e-31	1.119113638253926e-31	6.4933113261004532e-32	3.7012367596838344e-30	2.59239414978255e-31	5.0607282510796404e-32	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
160	90	125.09	450	2.2204460492503131e-16	0	-1	-1	2.2204460492503131e-16	-2.2204460492503131e-16	2.2204460492503131e-16	1	0	-0	1.5707963267948966	1.5707963267948966	246.21965079413738	1000	500.5	0.12905349405143485	0.10125000000000001	0.016167648535280903	1.6850640316228162e-16	1.359931459238224e-17	-1.5414220035238657e-33	-7823.754050000086	-101250	-4050.0000000000005	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	0.0020004360950687259	0.00040708874534648571	0	0.81817836288310863	0.040108743706127943	0.0012402703789426098	0.055112014419143388	0.00029206366988003394	0.00034307479030428638	0.082317945312078061	0	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	4.2773016880647868e-36	2.6349634451265298e-32	0.27084748385003599	0.3981326377563712	0.18812860904971387	8.7501678627773884e-06	0.00011156464025041172	5.4688549142358682e-06	6.3584553136182358e-07	0.00055928156256252143	5.3959368487127237e-08	4.6667561934812745e-08	1.5239875694337287e-05	0.1421902277701326	-48.551448551448551	-1.4129005702120355e-14	-7.9792374279347151e-31	3.5527021421445746e-14	-4.5304521153194907e-29	9.9840208317034489e-30	-190.65303743464546	2.1083988153721468e-13	9.3402509748763327e-14	607.5	1	1	2.653901825560093e-31	1	377	1	0.79282386449627762	1	261	1	8.6422074311079378e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860908	4.9260271946889715e-32	4.926027194688971e-32	4.9260271946889715e-32	4.8544514900191788e-32	4.9260271946889705e-32	4.9260271946889721e-32	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.5948994616415602e-32	3.5948994616415607e-32	3.5948994616415602e-32	3.5123863614059628e-32	3.5948994616415607e-32	3.5948994616415607e-32	1.1140231186304386e-34	0.0040852594436052011	3.0156446931598894e-30	1.9608123875399774e-31	1.119113638253926e-31	6.4933113261004532e-32	3.7012367596838344e-30	2.59239414978255e-31	5.0607282510796404e-32	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
161	90	125.09	450	2.2204460492503131e-16	0	-1	-1	2.2204460492503131e-16	-2.2204460492503131e-16	2.2204460492503131e-16	1	0	-0	1.5707963267948966	1.5707963267948966	246.21965079413738	1000	1000	0.12905349405143485	0.10125000000000001	0.0040499999999999998	1.6850640316228162e-16	6.8064569534873106e-18	-7.7148171276369477e-34	-7823.7540500000878	-101250	-4050	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	0.0020004360950687259	0.00040708874534648571	0	0.81817836288310863	0.040108743706127943	0.0012402703789426098	0.055112014419143388	0.00029206366988003394	0.00034307479030428638	0.082317945312078061	0	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	1.0714651421856253e-36	2.6349634451265298e-32	0.27084748385003599	0.3981326377563712	0.18812860904971387	8.7501678627773884e-06	0.00011156464025041172	5.4688549142358682e-06	6.3584553136182358e-07	0.00055928156256252143	5.3959368487127237e-08	4.6667561934812745e-08	1.5239875694337287e-05	0.1421902277701326	-24.299999999999997	-7.0715673539112405e-15	-3.9936083326812766e-31	3.5527021421445746e-14	-4.5304521153194907e-29	9.9840208317034489e-30	-190.65303743464546	2.1083988153721468e-13	9.3402509748763327e-14	607.5	1	1	2.653901825560093e-31	1	377	1	0.79282386449627762	1	261	1	8.6422074311079378e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860931	4.9260271946889715e-32	4.926027194688971e-32	4.9260271946889715e-32	4.8544514900191788e-32	4.9260271946889705e-32	4.9260271946889721e-32	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.5948994616415602e-32	3.5948994616415607e-32	3.5948994616415602e-32	3.5123863614059628e-32	3.5948994616415607e-32	3.5948994616415607e-32	1.1140231186304386e-34	0.0040852594436052011	3.0156446931598894e-30	1.9608123875399774e-31	1.119113638253926e-31	6.4933113261004532e-32	3.7012367596838344e-30	2.59239414978255e-31	5.0607282510796404e-32	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
175	90	125.09	450	0	-2.2204460492503131e-16	1	1	2.2204460492503131e-16	0	-2.2204460492503131e-16	1	2.2204460492503131e-16	1.5707963267948966	-1.5707963267948966	-0	246.21965079413738	500.5	500.5	0.12905349405143485	0.40419121338202257	0.016167648535280903	-3.366761301943689e-16	-8.101747161730602e-32	1.7231707831599404e-16	-7823.7540499999577	-101250	-4050.0000000000214	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.059481808004298947	5.9976214818118165e-33	0.25473698581722071	0.37445098863710163	0.17693837924610298	8.2296920579582785e-06	0.00010492857373896805	5.1435575362239236e-06	5.9802428954496813e-07	0.00052601448403783325	5.0749767690742719e-08	4.3891690975777483e-08	1.4333380334277334e-05	0.13373249594182202	48.551448551448551	-7.9792374279347869e-31	9.7025284909299425e-14	-3.1333068269547933e-30	-2.2287439316154364e-29	-1.8326998260645435e-13	190.65303743464546	-2.1083988153721468e-13	1.8661840109643045e-13	1213.7862137862139	0	0	0	1	377	1	0.79282386449627762	1	261	1	8.1281533079574511e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.2125736401460676	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.3810683420694395e-32	3.3810683420694412e-32	3.3810683420694401e-32	3.3034632702198959e-32	3.3810683420694406e-32	3.3810683420694412e-32	0	0.0040852594436052011	3.2063650855715434e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
176	90	125.09	450	0	-2.2204460492503131e-16	1	1	2.2204460492503131e-16	0	-2.2204460492503131e-16	1	2.2204460492503131e-16	1.5707963267948966	-1.5707963267948966	-0	246.21965079413738	500.5	1000	0.12905349405143485	0.40419121338202257	0.0040499999999999998	-3.366761301943689e-16	-4.0549244544461664e-32	8.6244697697155016e-17	-7823.7540499999577	-101250.00000000003	-4050.0000000000109	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.015595479194347386	6.2774816596037087e-33	0.26662348755081144	0.39192356848765109	0.18519465324141754	8.6137048019263976e-06	0.00010982473622456158	5.3835655012039983e-06	6.2592921560665146e-07	0.00055055929858979552	5.311784627854612e-08	4.593975894360745e-08	1.5002202530021809e-05	0.13997270303130396	24.299999999999997	-3.9936083326813703e-31	4.856115509710437e-14	-3.1333068269547933e-30	-2.2287439316154369e-29	-1.832699826064544e-13	190.65303743464546	-2.1083988153721468e-13	1.8661840109643045e-13	1213.7862137862139	0	0	0	1	377	1	0.79282386449627762	1	261	1	8.5074280649228593e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.2125736401460676	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.5388352818817581e-32	3.5388352818817592e-32	3.5388352818817586e-32	3.4576090129841467e-32	3.5388352818817586e-32	3.5388352818817592e-32	0	0.0040852594436052011	3.0634201991391069e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
178	90	125.09	450	0	-2.2204460492503131e-16	1	1	2.2204460492503131e-16	0	-2.2204460492503131e-16	1	2.2204460492503131e-16	1.5707963267948966	-1.5707963267948966	-0	246.21965079413738	1000	500.5	0.12905349405143485	0.10125000000000001	0.016167648535280903	-1.6850640316228162e-16	-8.101747161730602e-32	8.6244697697155016e-17	-7823.754049999915	-101250.00000000001	-4050.0000000000432	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.059481808004298913	1.5024056805992312e-33	0.25473698581722071	0.37445098863710163	0.17693837924610298	8.2296920579582785e-06	0.00010492857373896805	5.1435575362239236e-06	5.9802428954496813e-07	0.00052601448403783325	5.0749767690742719e-08	4.3891690975777483e-08	1.4333380334277334e-05	0.13373249594182202	48.551448551448551	-7.9792374279348272e-31	9.7025284909299399e-14	-3.1333068269547943e-30	-1.1154863377735261e-29	-9.1726626294530388e-14	190.65303743464546	-2.1083988153721466e-13	9.3402509748763491e-14	607.5	0	0	0	1	377	1	0.79282386449627762	1	261	1	8.1281533079574511e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860908	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.3810683420694395e-32	3.3810683420694412e-32	3.3810683420694401e-32	3.3034632702198959e-32	3.3810683420694406e-32	3.3810683420694412e-32	0	0.0040852594436052011	3.2063650855715434e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
179	90	125.09	450	0	-2.2204460492503131e-16	1	1	2.2204460492503131e-16	0	-2.2204460492503131e-16	1	2.2204460492503131e-16	1.5707963267948966	-1.5707963267948966	-0	246.21965079413738	1000	1000	0.12905349405143485	0.10125000000000001	0.0040499999999999998	-1.6850640316228162e-16	-4.0549244544461664e-32	4.3165471197426084e-17	-7823.754049999915	-101250.00000000001	-4050.0000000000214	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.015595479194347376	1.5725107251011445e-33	0.26662348755081144	0.39192356848765109	0.18519465324141754	8.6137048019263976e-06	0.00010982473622456158	5.3835655012039983e-06	6.2592921560665146e-07	0.00055055929858979552	5.311784627854612e-08	4.593975894360745e-08	1.5002202530021809e-05	0.13997270303130396	24.299999999999997	-3.9936083326813703e-31	4.8561155097104357e-14	-3.1333068269547943e-30	-1.1154863377735266e-29	-9.1726626294530413e-14	190.65303743464546	-2.1083988153721466e-13	9.3402509748763491e-14	607.5	0	0	0	1	377	1	0.79282386449627762	1	261	1	8.5074280649228593e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860931	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.5388352818817581e-32	3.5388352818817592e-32	3.5388352818817586e-32	3.4576090129841467e-32	3.5388352818817586e-32	3.5388352818817592e-32	0	0.0040852594436052011	3.0634201991391069e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
229	90	125.09	450	0	-2.2204460492503131e-16	-1	1	2.2204460492503131e-16	0	2.2204460492503131e-16	-1	2.2204460492503131e-16	1.5707963267948966	1.5707963267948966	-0	246.21965079413738	500.5	500.5	0.12905349405143485	0.40419121338202257	0.016167648535280903	-3.366761301943689e-16	8.101747161730602e-32	-1.7231707831599404e-16	-7823.7540499999577	-101249.99999999997	-4049.9999999999786	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.059481808004298871	5.9976214818118165e-33	0.25473698581722071	0.37445098863710163	0.17693837924610298	8.2296920579582785e-06	0.00010492857373896805	5.1435575362239236e-06	5.9802428954496813e-07	0.00052601448403783325	5.0749767690742719e-08	4.3891690975777483e-08	1.4333380334277334e-05	0.13373249594182202	-48.551448551448551	7.9792374279348395e-31	9.7025284909299374e-14	-3.1333068269547933e-30	2.2287439316154364e-29	-1.8326998260645445e-13	190.65303743464546	2.1083988153721468e-13	1.8661840109643045e-13	-1213.7862137862139	0	0	0	1	377	1	0.79282386449627762	1	261	1	8.1281533079574511e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.2125736401460676	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.3810683420694395e-32	3.3810683420694412e-32	3.3810683420694401e-32	3.3034632702198959e-32	3.3810683420694406e-32	3.3810683420694412e-32	0	0.0040852594436052011	3.2063650855715434e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
230	90	125.09	450	0	-2.2204460492503131e-16	-1	1	2.2204460492503131e-16	0	2.2204460492503131e-16	-1	2.2204460492503131e-16	1.5707963267948966	1.5707963267948966	-0	246.21965079413738	500.5	1000	0.12905349405143485	0.40419121338202257	0.0040499999999999998	-3.366761301943689e-16	4.0549244544461664e-32	-8.6244697697155016e-17	-7823.7540499999577	-101249.99999999994	-4049.9999999999891	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.015595479194347365	6.2774816596037046e-33	0.26662348755081144	0.39192356848765114	0.18519465324141757	8.6137048019263976e-06	0.00010982473622456158	5.3835655012039991e-06	6.2592921560665157e-07	0.00055055929858979563	5.3117846278546126e-08	4.5939758943607457e-08	1.5002202530021811e-05	0.13997270303130399	-24.299999999999997	3.9936083326813686e-31	4.8561155097104332e-14	-3.1333068269547933e-30	2.2287439316154364e-29	-1.832699826064544e-13	190.65303743464546	2.1083988153721468e-13	1.8661840109643045e-13	-1213.7862137862139	0	0	0	1	377	1	0.79282386449627762	1	261	1	8.5074280649228611e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	1.2125736401460676	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.5388352818817592e-32	3.5388352818817597e-32	3.5388352818817597e-32	3.4576090129841473e-32	3.5388352818817597e-32	3.5388352818817597e-32	0	0.0040852594436052011	3.0634201991391066e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
232	90	125.09	450	0	-2.2204460492503131e-16	-1	1	2.2204460492503131e-16	0	2.2204460492503131e-16	-1	2.2204460492503131e-16	1.5707963267948966	1.5707963267948966	-0	246.21965079413738	1000	500.5	0.12905349405143485	0.10125000000000001	0.016167648535280903	-1.6850640316228162e-16	8.101747161730602e-32	-8.6244697697155016e-17	-7823.754049999915	-101249.99999999999	-4049.9999999999568	6.3087363973053968e-05	2.8409528930905075	-5.1466937775704148e-05	-2.6102036147575251e-06	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	0	0.20954037949779894	0.026436167649781482	0.0015471908249778306	0.58943392991338928	0.028824475631364539	0.0023091776568478972	0.078098650877957129	0.0002244325586310561	0.0002463398800228695	0.063339255509228864	0	0.059481808004298913	1.5024056805992317e-33	0.25473698581722071	0.37445098863710163	0.17693837924610298	8.2296920579582785e-06	0.00010492857373896805	5.1435575362239236e-06	5.9802428954496813e-07	0.00052601448403783325	5.0749767690742719e-08	4.3891690975777483e-08	1.4333380334277334e-05	0.13373249594182202	-48.551448551448551	7.9792374279347992e-31	9.7025284909299399e-14	-3.1333068269547943e-30	1.1154863377735264e-29	-9.1726626294530489e-14	190.65303743464546	2.1083988153721466e-13	9.3402509748763491e-14	-607.5	0	0	0	1	377	1	0.79282386449627762	1	261	1	8.1281533079574511e-31	1	377	1	2.1060000000001607e-25	85.529715093106219	-0.23794678539377401	0.77432096430860908	0	0	0	0	0	0	0.99987774494812554	0.99987774494812554	0.99987774494812531	0.99987774494812509	0.9998777449481252	0.99987774494812531	3.3810683420694395e-32	3.3810683420694412e-32	3.3810683420694401e-32	3.3034632702198959e-32	3.3810683420694406e-32	3.3810683420694412e-32	0	0.0040852594436052011	3.2063650855715434e-30	0	0	0	0	0	0	1.4719039999999999	0.91041354164547528	0.48686499999999994	41.928879999999992	3.9222639999999998	0.47488019723004254	6.5919189392530799e-34	3.9500298933385576e-34	2.000255432801028e-34	3.3383607432821693e-31	2.9769638410777933e-32	7.1530904940456998e-34
